Date,Views,Watch time (hours),Average view duration
Total,30375,1334.81,0:02:38
2021-01-01,34,2.1518,0:03:47
2020-12-31,13,0.4751,0:02:11
2020-12-30,47,2.5803,0:03:17
2020-12-29,78,3.5346,0:02:43
2020-12-28,158,7.2455,0:02:45
2020-12-27,88,7.5756,0:05:09
2020-12-26,70,3.3697,0:02:53
2020-12-25,84,6.4577,0:04:36
2020-12-24,94,5.6948,0:03:38
2020-12-23,85,3.6614,0:02:35
2020-12-22,150,4.9304,0:01:58
2020-12-21,221,9.3971,0:02:33
2020-12-20,59,2.8727,0:02:55
2020-12-19,66,2.1985,0:01:59
2020-12-18,81,2.5548,0:01:53
2020-12-17,40,0.9894,0:01:29
2020-12-16,78,3.0087,0:02:18
2020-12-15,81,4.4897,0:03:19
2020-12-14,53,2.2994,0:02:36
2020-12-13,74,4.5829,0:03:42
2020-12-12,63,2.3897,0:02:16
2020-12-11,48,3.3892,0:04:14
2020-12-10,56,2.9705,0:03:10
2020-12-09,50,1.8972,0:02:16
2020-12-08,83,5.6926,0:04:06
2020-12-07,134,6.4288,0:02:52
2020-12-06,102,6.2544,0:03:40
2020-12-05,69,4.6044,0:04:00
2020-12-04,62,4.5662,0:04:25
2020-12-03,59,3.2834,0:03:20
2020-12-02,51,3.1011,0:03:38
2020-12-01,35,1.268,0:02:10
2020-11-30,70,5.1646,0:04:25
2020-11-29,70,5.199,0:04:27
2020-11-28,72,3.2781,0:02:43
2020-11-27,83,4.1053,0:02:58
2020-11-26,65,3.0983,0:02:51
2020-11-25,62,2.7992,0:02:42
2020-11-24,55,2.283,0:02:29
2020-11-23,57,3.4543,0:03:38
2020-11-22,97,6.9537,0:04:18
2020-11-21,64,3.5683,0:03:20
2020-11-20,73,4.3734,0:03:35
2020-11-19,53,3.1216,0:03:32
2020-11-18,48,2.6735,0:03:20
2020-11-17,83,3.2207,0:02:19
2020-11-16,111,6.3613,0:03:26
2020-11-15,87,4.982,0:03:26
2020-11-14,104,5.3018,0:03:03
2020-11-13,60,4.8663,0:04:51
2020-11-12,58,2.727,0:02:49
2020-11-11,66,3.277,0:02:58
2020-11-10,111,7.0809,0:03:49
2020-11-09,83,5.6279,0:04:04
2020-11-08,56,3.1768,0:03:24
2020-11-07,54,3.5487,0:03:56
2020-11-06,91,6.7575,0:04:27
2020-11-05,85,4.534,0:03:12
2020-11-04,119,4.6961,0:02:22
2020-11-03,64,3.0949,0:02:54
2020-11-02,21,1.3836,0:03:57
2020-11-01,51,2.9534,0:03:28
2020-10-31,100,6.8286,0:04:05
2020-10-30,47,1.7645,0:02:15
2020-10-29,137,2.4739,0:01:05
2020-10-28,100,5.8647,0:03:31
2020-10-27,78,4.5206,0:03:28
2020-10-26,76,4.5451,0:03:35
2020-10-25,49,3.1528,0:03:51
2020-10-24,54,4.2335,0:04:42
2020-10-23,61,3.4803,0:03:25
2020-10-22,63,3.1582,0:03:00
2020-10-21,49,2.4595,0:03:00
2020-10-20,88,2.2753,0:01:33
2020-10-19,87,4.7386,0:03:16
2020-10-18,119,5.9101,0:02:58
2020-10-17,84,4.8485,0:03:27
2020-10-16,105,4.4291,0:02:31
2020-10-15,55,3.2528,0:03:32
2020-10-14,80,2.9664,0:02:13
2020-10-13,76,2.2706,0:01:47
2020-10-12,109,4.041,0:02:13
2020-10-11,94,4.3028,0:02:44
2020-10-10,59,3.662,0:03:43
2020-10-09,51,1.6295,0:01:55
2020-10-08,61,3.5825,0:03:31
2020-10-07,41,3.2192,0:04:42
2020-10-06,80,3.4639,0:02:35
2020-10-05,59,2.0268,0:02:03
2020-10-04,36,2.1376,0:03:33
2020-10-03,45,1.7722,0:02:21
2020-10-02,57,3.1213,0:03:17
2020-10-01,30,1.3421,0:02:41
2020-09-30,24,0.308,0:00:46
2020-09-29,53,2.1846,0:02:28
2020-09-28,52,4.3549,0:05:01
2020-09-27,53,2.3587,0:02:40
2020-09-26,68,4.3335,0:03:49
2020-09-25,52,4.0367,0:04:39
2020-09-24,38,1.6932,0:02:40
2020-09-23,79,4.2982,0:03:15
2020-09-22,62,2.4728,0:02:23
2020-09-21,90,4.7663,0:03:10
2020-09-20,78,5.0525,0:03:53
2020-09-19,80,4.7392,0:03:33
2020-09-18,66,4.2944,0:03:54
2020-09-17,86,4.4272,0:03:05
2020-09-16,55,3.4502,0:03:45
2020-09-15,78,4.8882,0:03:45
2020-09-14,77,3.1978,0:02:29
2020-09-13,52,2.9731,0:03:25
2020-09-12,45,1.9884,0:02:39
2020-09-11,77,5.0251,0:03:54
2020-09-10,91,2.5607,0:01:41
2020-09-09,114,6.4713,0:03:24
2020-09-08,127,4.395,0:02:04
2020-09-07,91,3.4213,0:02:15
2020-09-06,145,6.236,0:02:34
2020-09-05,109,5.4844,0:03:01
2020-09-04,72,3.2436,0:02:42
2020-09-03,123,5.3919,0:02:37
2020-09-02,139,5.0093,0:02:09
2020-09-01,70,2.1585,0:01:51
2020-08-31,74,2.4646,0:01:59
2020-08-30,109,3.1698,0:01:44
2020-08-29,70,4.4112,0:03:46
2020-08-28,71,3.2825,0:02:46
2020-08-27,80,3.2895,0:02:28
2020-08-26,45,1.9454,0:02:35
2020-08-25,77,3.3312,0:02:35
