Date,Views,Watch time (hours),Average view duration
Total,10591,529.4822,0:02:59
2023-01-01,20,1.114,0:03:20
2022-12-31,5,0.0156,0:00:11
2022-12-30,8,0.1679,0:01:15
2022-12-29,23,0.6208,0:01:37
2022-12-28,17,1.1514,0:04:03
2022-12-27,18,1.0697,0:03:33
2022-12-26,13,0.9854,0:04:32
2022-12-25,27,1.6534,0:03:40
2022-12-24,4,0.0489,0:00:44
2022-12-23,12,0.7009,0:03:30
2022-12-22,11,0.2747,0:01:29
2022-12-21,10,0.4143,0:02:29
2022-12-20,11,0.1847,0:01:00
2022-12-19,4,0.0362,0:00:32
2022-12-18,10,0.2625,0:01:34
2022-12-17,4,0.107,0:01:36
2022-12-16,11,0.7341,0:04:00
2022-12-15,8,0.402,0:03:00
2022-12-14,9,0.2052,0:01:22
2022-12-13,6,0.2722,0:02:43
2022-12-12,9,0.1382,0:00:55
2022-12-11,19,1.0884,0:03:26
2022-12-10,8,0.2161,0:01:37
2022-12-09,3,0.0753,0:01:30
2022-12-08,17,0.8867,0:03:07
2022-12-07,3,0.0203,0:00:24
2022-12-06,6,0.2688,0:02:41
2022-12-05,3,0.0532,0:01:03
2022-12-04,7,0.3468,0:02:58
2022-12-03,13,0.4241,0:01:57
2022-12-02,11,0.3239,0:01:46
2022-12-01,5,0.0754,0:00:54
2022-11-30,8,0.2306,0:01:43
2022-11-29,8,0.3548,0:02:39
2022-11-28,89,1.4341,0:00:58
2022-11-27,10,0.1587,0:00:57
2022-11-26,7,0.3705,0:03:10
2022-11-25,24,0.2289,0:00:34
2022-11-24,26,2.3735,0:05:28
2022-11-23,27,1.5467,0:03:26
2022-11-22,17,0.8767,0:03:05
2022-11-21,72,1.1267,0:00:56
2022-11-20,30,0.3304,0:00:39
2022-11-19,27,1.2408,0:02:45
2022-11-18,2,0.0267,0:00:48
2022-11-17,9,0.1191,0:00:47
2022-11-16,31,1.4019,0:02:42
2022-11-15,15,1.0993,0:04:23
2022-11-14,9,0.7336,0:04:53
2022-11-13,21,1.4225,0:04:03
2022-11-12,44,2.717,0:03:42
2022-11-11,30,3.1303,0:06:15
2022-11-10,4,0.2833,0:04:14
2022-11-09,15,0.4314,0:01:43
2022-11-08,41,3.1825,0:04:39
2022-11-07,21,1.491,0:04:15
2022-11-06,13,0.4454,0:02:03
2022-11-05,10,0.3739,0:02:14
2022-11-04,13,0.3229,0:01:29
2022-11-03,10,0.1693,0:01:00
2022-11-02,5,0.1789,0:02:08
2022-11-01,10,0.0803,0:00:28
2022-10-31,33,1.2608,0:02:17
2022-10-30,30,1.6269,0:03:15
2022-10-29,40,2.7082,0:04:03
2022-10-28,15,0.9553,0:03:49
2022-10-27,19,1.1093,0:03:30
2022-10-26,42,1.8625,0:02:39
2022-10-25,31,2.6382,0:05:06
2022-10-24,11,1.0728,0:05:51
2022-10-23,33,1.5089,0:02:44
2022-10-22,26,2.4117,0:05:33
2022-10-21,15,0.8567,0:03:25
2022-10-20,36,1.5866,0:02:38
2022-10-19,20,1.0669,0:03:12
2022-10-18,19,0.7245,0:02:17
2022-10-17,11,0.9262,0:05:03
2022-10-16,10,0.4795,0:02:52
2022-10-15,24,0.6309,0:01:34
2022-10-14,46,3.2586,0:04:15
2022-10-13,31,0.6322,0:01:13
2022-10-12,9,0.1219,0:00:48
2022-10-11,29,1.4971,0:03:05
2022-10-10,104,1.8629,0:01:04
2022-10-09,57,1.1687,0:01:13
2022-10-08,121,2.4317,0:01:12
2022-10-07,80,3.3287,0:02:29
2022-10-06,70,1.7031,0:01:27
2022-10-05,51,0.5314,0:00:37
2022-10-04,63,2.2644,0:02:09
2022-10-03,27,1.4947,0:03:19
2022-10-02,52,0.8408,0:00:58
2022-10-01,15,0.6121,0:02:26
2022-09-30,19,1.4657,0:04:37
2022-09-29,18,0.3532,0:01:10
2022-09-28,36,2.2273,0:03:42
2022-09-27,19,0.3732,0:01:10
2022-09-26,13,0.8293,0:03:49
2022-09-25,8,0.4191,0:03:08
2022-09-24,4,0.1032,0:01:32
2022-09-23,31,0.498,0:00:57
2022-09-22,34,2.5979,0:04:35
2022-09-21,26,0.9935,0:02:17
2022-09-20,26,1.2962,0:02:59
2022-09-19,21,1.048,0:02:59
2022-09-18,21,0.6429,0:01:50
2022-09-17,32,1.9107,0:03:34
2022-09-16,25,1.0753,0:02:34
2022-09-15,18,1.0641,0:03:32
