Date,Views,Watch time (hours)
2020-06-15,102.0,3.6013
2020-06-14,163.0,8.1139
2020-06-13,97.0,4.3445
2020-06-12,119.0,4.6427
2020-06-11,110.0,6.1757
2020-06-10,174.0,7.8021
2020-06-09,198.0,5.6232
2020-06-08,81.0,2.6299
2020-06-07,93.0,2.2157
2020-06-06,162.0,5.2459
2020-06-05,132.0,5.855
2020-06-04,115.0,5.1262
2020-06-03,53.0,1.9985
2020-06-02,179.0,4.0191
2020-06-01,76.0,1.5824
2020-05-31,124.0,3.3272
2020-05-30,165.0,7.6665
2020-05-29,77.0,3.8597
2020-05-28,122.0,5.8903
2020-05-27,77.0,4.0631
2020-05-26,209.0,9.3126
2020-05-25,81.0,3.5558
2020-05-24,110.0,7.0559
2020-05-23,192.0,8.8317
2020-05-22,153.0,6.0013
2020-05-21,204.0,9.3561
2020-05-20,102.0,5.774
2020-05-19,166.0,6.5261
2020-05-18,77.0,4.0771
2020-05-17,133.0,8.2903
2020-05-16,148.0,8.098
2020-05-15,93.0,3.403
2020-05-14,250.0,6.0394
2020-05-13,80.0,3.5124
2020-05-12,96.0,5.6394
2020-05-11,68.0,3.0034
2020-05-10,90.0,5.9713
2020-05-09,172.0,9.2539
2020-05-08,83.0,4.0589
2020-05-07,142.0,5.9233
2020-05-06,109.0,5.3695
2020-05-05,205.0,11.432
2020-05-04,104.0,3.097
2020-05-03,179.0,7.5854
2020-05-02,113.0,6.3605
2020-05-01,59.0,4.8422
2020-04-30,106.0,6.3784
2020-04-29,132.0,4.7398
2020-04-28,113.0,3.1263
2020-04-27,162.0,5.6116
2020-04-26,196.0,10.8028
2020-04-25,170.0,6.2288
2020-04-24,132.0,4.6197
2020-04-23,233.0,6.3669
2020-04-22,218.0,6.0938
2020-04-21,104.0,3.7688
2020-04-20,45.0,1.1614
2020-04-19,173.0,6.2051
2020-04-18,117.0,4.9574
2020-04-17,116.0,3.7317
2020-04-16,190.0,6.1775
2020-04-15,396.0,9.1479
2020-04-14,168.0,6.1433
2020-04-13,178.0,5.3518
2020-04-12,408.0,8.9304
2020-04-11,98.0,3.095
2020-04-10,104.0,4.0969
2020-04-09,50.0,0.9394
2020-04-08,46.0,1.0659
2020-04-07,108.0,3.2536
2020-04-06,224.0,5.9703
2020-04-05,38.0,2.8685
2020-04-04,37.0,1.9456
2020-04-03,19.0,0.2875
2020-04-02,46.0,1.4586
2020-04-01,55.0,0.7526
2020-03-31,103.0,1.9421
2020-03-30,33.0,0.7222
2020-03-29,22.0,0.4587
2020-03-28,43.0,1.7761
2020-03-27,160.0,3.8804
2020-03-26,16.0,0.8973
2020-03-25,89.0,1.7219
2020-03-24,35.0,1.4687
2020-03-23,90.0,1.243
2020-03-22,104.0,1.5373
2020-03-21,7.0,0.3817
2020-03-20,29.0,0.3373
2020-03-19,9.0,0.2257
2020-03-18,9.0,0.2536
2020-03-17,14.0,0.1281
2020-03-16,115.0,2.4394
2020-03-15,6.0,0.3798
2020-03-14,41.0,0.345
2020-03-13,92.0,1.3488
2020-03-12,137.0,2.0351
2020-03-11,23.0,0.7884
2020-03-10,31.0,0.7038
2020-03-09,137.0,2.0819
2020-03-08,15.0,0.4625
2020-03-07,3.0,0.0439
2020-03-06,11.0,0.6434
2020-03-05,29.0,0.8313
2020-03-04,17.0,0.5763
2020-03-03,88.0,1.8931
2020-03-02,235.0,3.4536
2020-03-01,175.0,3.3674
2020-02-29,283.0,4.6791
2020-02-28,167.0,2.7694
2020-02-27,5.0,0.2801
2020-02-26,6.0,0.0143
2020-02-24,7.0,0.0395
2020-02-23,15.0,0.1865
2020-02-22,17.0,0.2107
2020-02-21,5.0,0.0003
2020-02-19,6.0,0.0326
2020-02-18,16.0,0.2398
2022-01-01,34.0,1.6663
2021-12-31,1.0,0.0006
