Date,Views,Watch time (hours),Average view duration
Total,20463,1108.6978,0:03:15
2022-01-01,34,1.6663,0:02:56
2021-12-31,1,0.0006,0:00:02
2021-12-30,6,0.046,0:00:27
2021-12-29,35,2.3054,0:03:57
2021-12-28,15,1.0014,0:04:00
2021-12-27,34,2.906,0:05:07
2021-12-26,29,2.621,0:05:25
2021-12-25,59,3.8631,0:03:55
2021-12-24,44,3.2937,0:04:29
2021-12-23,33,2.1944,0:03:59
2021-12-22,77,3.1669,0:02:28
2021-12-21,70,4.8645,0:04:10
2021-12-20,58,4.018,0:04:09
2021-12-19,66,2.5042,0:02:16
2021-12-18,37,1.2197,0:01:58
2021-12-17,92,3.9786,0:02:35
2021-12-16,78,4.3215,0:03:19
2021-12-15,32,1.6337,0:03:03
2021-12-14,120,4.3869,0:02:11
2021-12-13,33,1.9958,0:03:37
2021-12-12,33,1.8857,0:03:25
2021-12-11,67,5.5655,0:04:59
2021-12-10,62,2.4921,0:02:24
2021-12-09,38,1.4384,0:02:16
2021-12-08,15,1.1085,0:04:26
2021-12-07,24,0.6035,0:01:30
2021-12-06,58,5.3075,0:05:29
2021-12-05,56,2.4265,0:02:35
2021-12-04,44,0.5151,0:00:42
2021-12-03,43,3.4017,0:04:44
2021-12-02,32,1.6786,0:03:08
2021-12-01,44,1.6746,0:02:17
2021-11-30,57,3.0234,0:03:10
2021-11-29,42,2.6558,0:03:47
2021-11-28,48,1.5179,0:01:53
2021-11-27,35,1.0212,0:01:45
2021-11-26,20,0.8117,0:02:26
2021-11-25,45,1.724,0:02:17
2021-11-24,37,2.0607,0:03:20
2021-11-23,16,0.2567,0:00:57
2021-11-22,54,2.059,0:02:17
2021-11-21,34,1.6292,0:02:52
2021-11-20,54,2.6417,0:02:56
2021-11-19,34,2.8748,0:05:04
2021-11-18,49,2.6717,0:03:16
2021-11-17,45,2.7599,0:03:40
2021-11-16,22,0.8887,0:02:25
2021-11-15,36,1.4867,0:02:28
2021-11-14,29,1.5753,0:03:15
2021-11-13,31,3.3859,0:06:33
2021-11-12,28,0.4342,0:00:55
2021-11-11,25,1.2301,0:02:57
2021-11-10,98,6.4444,0:03:56
2021-11-09,31,1.7185,0:03:19
2021-11-08,21,0.5453,0:01:33
2021-11-07,25,0.8114,0:01:56
2021-11-06,53,2.916,0:03:18
2021-11-05,28,1.0882,0:02:19
2021-11-04,45,2.222,0:02:57
2021-11-03,36,1.6153,0:02:41
2021-11-02,88,5.4202,0:03:41
2021-11-01,44,2.6682,0:03:38
2021-10-31,44,0.8077,0:01:06
2021-10-30,94,5.7778,0:03:41
2021-10-29,53,3.5677,0:04:02
2021-10-28,47,2.1837,0:02:47
2021-10-27,48,3.1629,0:03:57
2021-10-26,26,1.0291,0:02:22
2021-10-25,14,0.2984,0:01:16
2021-10-24,30,1.2769,0:02:33
2021-10-23,26,1.8661,0:04:18
2021-10-22,42,2.9074,0:04:09
2021-10-21,56,3.5433,0:03:47
2021-10-20,15,0.8739,0:03:29
2021-10-19,29,0.7466,0:01:32
2021-10-18,17,0.4749,0:01:40
2021-10-17,59,1.7555,0:01:47
2021-10-16,26,2.2614,0:05:13
2021-10-15,24,0.9298,0:02:19
2021-10-14,59,2.6227,0:02:40
2021-10-13,62,2.6139,0:02:31
2021-10-12,49,2.7435,0:03:21
2021-10-11,43,3.7038,0:05:10
2021-10-10,39,1.7164,0:02:38
2021-10-09,38,2.2345,0:03:31
2021-10-08,25,1.9067,0:04:34
2021-10-07,25,1.6732,0:04:00
2021-10-06,39,4.9072,0:07:32
2021-10-05,83,3.4447,0:02:29
2021-10-04,55,2.4316,0:02:39
2021-10-03,67,3.1503,0:02:49
2021-10-02,35,1.3653,0:02:20
2021-10-01,25,1.2522,0:03:00
2021-09-30,85,3.0526,0:02:09
2021-09-29,71,4.3987,0:03:43
2021-09-28,43,1.559,0:02:10
2021-09-27,57,3.5937,0:03:46
2021-09-26,33,2.0802,0:03:46
2021-09-25,47,4.3829,0:05:35
2021-09-24,53,2.0368,0:02:18
2021-09-23,27,0.7019,0:01:33
2021-09-22,96,3.9517,0:02:28
2021-09-21,57,2.6609,0:02:48
2021-09-20,59,2.5935,0:02:38
2021-09-19,67,4.3551,0:03:54
2021-09-18,111,4.3194,0:02:20
2021-09-17,54,3.0776,0:03:25
2021-09-16,71,2.8944,0:02:26
2021-09-15,71,4.512,0:03:48
2021-09-14,75,4.1968,0:03:21
2021-09-13,59,3.3238,0:03:22
2021-09-12,136,4.0377,0:01:46
2021-09-11,40,2.9483,0:04:25
2021-09-10,86,4.8973,0:03:25
2021-09-09,87,5.444,0:03:45
2021-09-08,78,3.3032,0:02:32
2021-09-07,73,3.2409,0:02:39
2021-09-06,41,2.843,0:04:09
2021-09-05,54,2.6961,0:02:59
2021-09-04,29,0.9401,0:01:56
2021-09-03,85,2.6662,0:01:52
2021-09-02,60,3.6006,0:03:36
2021-09-01,34,1.0477,0:01:50
2021-08-31,63,2.798,0:02:39
2021-08-30,39,1.2511,0:01:55
2021-08-29,41,2.1121,0:03:05
2021-08-28,48,0.8086,0:01:00
2021-08-27,30,0.8075,0:01:36
2021-08-26,28,1.5625,0:03:20
2021-08-25,41,1.1022,0:01:36
2021-08-24,35,1.4286,0:02:26
2021-08-23,51,1.8506,0:02:10
2021-08-22,62,1.4173,0:01:22
2021-08-21,52,2.1781,0:02:30
2021-08-20,66,1.914,0:01:44
2021-08-19,108,4.9883,0:02:46
2021-08-18,28,0.9391,0:02:00
2021-08-17,55,4.4452,0:04:50
2021-08-16,125,4.4347,0:02:07
2021-08-15,91,4.3962,0:02:53
2021-08-14,53,2.6414,0:02:59
2021-08-13,66,3.8882,0:03:32
2021-08-12,110,7.2493,0:03:57
2021-08-11,91,6.2646,0:04:07
2021-08-10,88,7.8651,0:05:21
2021-08-09,87,5.0999,0:03:31
2021-08-08,90,8.304,0:05:32
2021-08-07,95,8.9696,0:05:39
2021-08-06,101,9.6789,0:05:44
2021-08-05,99,7.9278,0:04:48
2021-08-04,90,6.4299,0:04:17
2021-08-03,94,7.609,0:04:51
2021-08-02,107,7.1053,0:03:59
2021-08-01,82,6.0473,0:04:25
2021-07-31,151,11.8315,0:04:42
2021-07-30,59,3.7975,0:03:51
2021-07-29,122,7.3969,0:03:38
2021-07-28,137,11.7071,0:05:07
2021-07-27,153,12.14,0:04:45
2021-07-26,107,8.6694,0:04:51
2021-07-25,116,7.7127,0:03:59
2021-07-24,88,6.2236,0:04:14
2021-07-23,88,5.728,0:03:54
2021-07-22,57,4.2463,0:04:28
2021-07-21,184,5.3664,0:01:44
2021-07-20,119,8.4751,0:04:16
2021-07-19,36,2.0177,0:03:21
2021-07-18,20,1.4998,0:04:29
2021-07-17,60,4.1522,0:04:09
2021-07-16,58,4.2915,0:04:26
2021-07-15,49,4.5,0:05:30
2021-07-14,37,2.4368,0:03:57
2021-07-13,45,2.6521,0:03:32
2021-07-12,56,3.7173,0:03:58
2021-07-11,22,0.9063,0:02:28
2021-07-10,29,1.4923,0:03:05
2021-07-09,11,0.6845,0:03:44
2021-07-08,16,1.1648,0:04:22
2021-07-07,58,3.002,0:03:06
2021-07-06,28,1.6975,0:03:38
2021-07-05,34,2.6284,0:04:38
2021-07-04,36,3.6287,0:06:02
2021-07-03,48,5.7312,0:07:09
2021-07-02,31,1.6917,0:03:16
2021-07-01,65,4.5924,0:04:14
2021-06-30,28,1.369,0:02:56
2021-06-29,24,1.1693,0:02:55
2021-06-28,26,2.4739,0:05:42
2021-06-27,22,2.1473,0:05:51
2021-06-26,15,0.4346,0:01:44
2021-06-25,30,2.6405,0:05:16
2021-06-24,32,1.453,0:02:43
2021-06-23,28,1.6989,0:03:38
2021-06-22,19,0.7013,0:02:12
2021-06-21,60,4.1129,0:04:06
2021-06-20,32,2.679,0:05:01
2021-06-19,44,2.3164,0:03:09
2021-06-18,54,4.6916,0:05:12
2021-06-17,43,2.7979,0:03:54
2021-06-16,16,0.9932,0:03:43
2021-06-15,60,4.864,0:04:51
2021-06-14,43,3.9531,0:05:30
2021-06-13,27,0.4502,0:01:00
2021-06-12,32,1.8799,0:03:31
2021-06-11,32,1.9279,0:03:36
2021-06-10,13,0.937,0:04:19
2021-06-09,9,0.5084,0:03:23
2021-06-08,14,0.4216,0:01:48
2021-06-07,25,1.2483,0:02:59
2021-06-06,47,4.6952,0:05:59
2021-06-05,9,0.3527,0:02:21
2021-06-04,91,2.1116,0:01:23
2021-06-03,15,0.7826,0:03:07
2021-06-02,11,0.156,0:00:51
2021-06-01,3,0.019,0:00:22
2021-05-31,8,0.4548,0:03:24
2021-05-30,22,0.9539,0:02:36
2021-05-29,33,2.6378,0:04:47
2021-05-28,17,1.0927,0:03:51
2021-05-27,20,0.9914,0:02:58
2021-05-26,13,0.8444,0:03:53
2021-05-25,20,0.4691,0:01:24
2021-05-24,3,0.0219,0:00:26
2021-05-23,20,1.3002,0:03:54
2021-05-22,17,0.8538,0:03:00
2021-05-21,11,0.2663,0:01:27
2021-05-20,20,1.0342,0:03:06
2021-05-19,19,0.4298,0:01:21
2021-05-18,19,1.4382,0:04:32
2021-05-17,35,1.938,0:03:19
2021-05-16,68,1.0935,0:00:57
2021-05-15,33,1.79,0:03:15
2021-05-14,24,1.0176,0:02:32
2021-05-13,25,1.8676,0:04:28
2021-05-12,21,1.2118,0:03:27
2021-05-11,23,0.801,0:02:05
2021-05-10,28,1.7613,0:03:46
2021-05-09,12,0.6744,0:03:22
2021-05-08,16,0.653,0:02:26
2021-05-07,18,0.924,0:03:04
2021-05-06,16,0.692,0:02:35
2021-05-05,15,0.7515,0:03:00
2021-05-04,26,1.1738,0:02:42
2021-05-03,21,1.0278,0:02:56
2021-05-02,53,2.714,0:03:04
2021-05-01,38,1.9396,0:03:03
2021-04-30,41,0.8089,0:01:11
2021-04-29,16,0.6475,0:02:25
2021-04-28,27,1.2728,0:02:49
2021-04-27,36,1.9488,0:03:14
2021-04-26,29,0.902,0:01:51
2021-04-25,12,0.6516,0:03:15
2021-04-24,26,0.9145,0:02:06
2021-04-23,33,1.3095,0:02:22
2021-04-22,36,1.2035,0:02:00
2021-04-21,16,0.8134,0:03:03
2021-04-20,37,1.3519,0:02:11
2021-04-19,42,1.8739,0:02:40
2021-04-18,45,2.3109,0:03:04
2021-04-17,27,1.1498,0:02:33
2021-04-16,59,3.6429,0:03:42
2021-04-15,17,0.9595,0:03:23
2021-04-14,37,1.3253,0:02:08
2021-04-13,54,2.4745,0:02:44
2021-04-12,35,2.5542,0:04:22
2021-04-11,36,3.1094,0:05:10
2021-04-10,23,1.0944,0:02:51
2021-04-09,25,1.8619,0:04:28
2021-04-08,58,4.6614,0:04:49
2021-04-07,99,1.4926,0:00:54
2021-04-06,46,2.4076,0:03:08
2021-04-05,20,0.7326,0:02:11
2021-04-04,60,2.8347,0:02:50
2021-04-03,25,1.3077,0:03:08
2021-04-02,40,2.2342,0:03:21
2021-04-01,31,1.4994,0:02:54
2021-03-31,40,2.4759,0:03:42
2021-03-30,33,1.215,0:02:12
2021-03-29,24,1.0381,0:02:35
2021-03-28,24,1.0641,0:02:39
2021-03-27,30,0.8676,0:01:44
2021-03-26,24,1.5353,0:03:50
2021-03-25,38,1.7593,0:02:46
2021-03-24,58,2.9967,0:03:06
2021-03-23,42,1.9923,0:02:50
2021-03-22,33,2.3398,0:04:15
2021-03-21,35,2.1901,0:03:45
2021-03-20,46,2.6303,0:03:25
2021-03-19,45,3.5568,0:04:44
2021-03-18,30,0.8168,0:01:38
2021-03-17,61,4.0636,0:03:59
2021-03-16,86,4.3333,0:03:01
2021-03-15,61,2.4126,0:02:22
2021-03-14,50,2.6314,0:03:09
2021-03-13,66,4.0832,0:03:42
2021-03-12,72,3.3338,0:02:46
2021-03-11,53,4.7534,0:05:22
2021-03-10,58,2.431,0:02:30
2021-03-09,95,5.7759,0:03:38
2021-03-08,66,2.937,0:02:40
